"Day","Cash On Hand"
0,3500000
1,3487400
2,3215000
3,558403
4,438206
5,438813
6,91835
7,126634
8,62958
9,116665
10,463123
11,544997
12,254825
13,108262
14,148726
15,565311
16,387525
17,413531
18,352498
19,83669
20,671535
21,325181
22,572940
23,603255
24,247635
25,581737
26,672154
27,109009
28,121304
29,284939
30,390616
31,376852
32,913002
33,66721
34,10429
35,270096
36,256710
37,538249
38,1247086
39,1416293
40,1384679
41,793531
42,792560
43,857144
44,1968709
45,913087
46,1691749
47,2041023
48,2028107
49,1545813
50,1610057
51,2551294
52,2677198
53,2179072
54,2431416
55,4173216
56,4968329
57,5909394
58,6198916
59,6311802
60,6368591
