"Day","Sales","Trading Profit","Operating Expense","Net Profit"
0,0,0,0,0
1,0,0,12600,-12600
2,0,0,285000,-285000
3,34603,17187,462200,-445013
4,75606,38259,517400,-479141
5,115440,58890,573627,-513710
6,156947,61204,630612,-567867
7,238687,104819,697553,-591193
8,319417,-487904,749039,-1232833
9,421526,-482575,817441,-1295906
10,876616,-1347860,946073,-2289823
11,1350560,-1050383,1013323,-2059596
12,1708369,-1581019,1141464,-2718373
13,2866617,-513927,1216275,-1728147
14,3237784,-308219,1369298,-1675462
15,4728917,1013457,1465708,-450196
16,4949351,945940,1562632,-613610
17,6283184,2243333,1640459,603901
18,6520800,2427228,1737483,690772
19,6617746,1902716,1892458,11799
20,7303850,1476216,2047046,-568005
21,7777701,1901550,2142251,-238903
22,7874483,1305927,2286224,-976187
23,8646783,1720239,2423209,-699888
24,9641770,2679858,2534816,146069
25,10574207,3576900,2623423,954504
26,11079673,2832462,2799982,35819
27,12047303,2039303,3038757,-998170
28,12134478,2093134,3167740,-1071203
29,12270697,2183847,3263168,-1075565
30,15713159,5589338,3381328,2208010
31,15780425,5611419,3474358,2137061
32,17023563,6840439,3563506,3276933
33,17091547,5732040,3752631,1979409
34,17175642,5808334,3846750,1961851
35,17238865,5946469,3940854,2006062
36,17330378,5968117,4065753,1903905
37,17842830,5432397,4316666,1117272
38,19757187,7276519,4436686,2839833
39,20364277,7342857,4612469,2730388
40,20713156,7051699,4803770,2247929
41,20814163,6773924,4932905,1841019
42,20906785,6596713,5046498,1550215
43,21048029,6711451,5143158,1568293
44,22311768,7521815,5315332,2206483
45,22813609,7976847,5438715,2538132
46,24184125,8360912,5711305,2649607
47,24676995,8515903,5874901,2641002
48,25050139,8849326,5971921,2877405
49,25406940,8647893,6156136,2491757
50,25544397,8759678,6249349,2510329
51,27315430,9514787,6459133,3055654
52,27907534,10074863,6609333,3465530
53,28023401,9624424,6747126,2877298
54,28386235,9935144,6877616,3057528
55,30424027,11832280,7034200,4798080
56,31373040,11966545,7208100,4758445
57,32458588,12889911,7302583,5587328
58,32934699,13199916,7397172,5802744
59,33121865,13353590,7491452,5862138
60,33256934,13454294,7589732,5864562
