"Day","Cash On Hand"
11,486741
12,522861
13,20430
14,563310
15,265045
16,527238
17,192659
18,408959
19,9391
20,324119
21,296423
22,479642
23,102758
24,583998
25,211980
26,52472
27,351855
28,414424
29,678220
30,640845
31,465350
32,477646
33,3032166
34,4494716
35,6575355
36,6378050
37,7897458
38,8225081
39,7580627
40,7881817
41,9078574
42,9367990
43,9756084
44,12317127
45,15491615
46,15409628
47,15843749
48,15636998
49,15715164
50,15626540
51,15758191
52,15560907
53,16116111
54,16013781
55,16233168
56,16471069
57,18611516
58,19171793
59,19643144
60,20163727
61,19853834
62,20751501
63,21635857
64,22072723
65,22522668
66,24565504
67,24976130
68,25251996
69,26283922
70,31248361
71,34982005
72,37617987
73,35526135
74,35686442
75,35843575
76,36471708
77,38424431
78,37691649
79,40597181
80,41231121
81,41914247
82,42179211
83,43160195
84,46441175
85,48406876
86,49733466
87,49774302
88,52505220
89,54408100
90,55139373
